EndNodes_1,EndNodes_2,Length,Diameter
191,422,296,10
192,189,229,17
192,436,407,9
193,194,67,7
193,195,185,25
194,471,289,12
194,471,215,8.5
195,196,44,18
195,199,777,21
196,197,511,12
196,198,1036,18
197,469,296,13
197,488,873,12
198,237,355,18.5
198,632,222,9
199,200,977,10.5
199,201,52,22
200,460,392,10
200,487,488,11
201,202,592,13
201,211,311,20
202,203,111,13
202,634,481,7
203,204,163,13
203,497,607,6
204,205,459,11
204,207,244,11
205,206,81,10
205,489,326,10
206,461,252,8
206,461,370,7
207,208,252,9
207,209,111,11
208,463,444,10
208,491,185,7
209,210,777,11
209,492,244,7
210,499,444,9
210,501,696,9
211,212,133,23
211,494,518,6
212,213,52,8
212,215,111,20
213,214,126,8
213,633,888,10
214,530,444,8
214,530,429,7
215,216,1184,20
215,495,451,6
216,217,126,10
216,218,333,21
217,219,518,10
217,534,155,7
218,225,81,10
218,232,770,21
219,220,44,10
219,509,355,10
220,221,163,9
220,222,59,10
221,534,518,11
221,538,59,8
222,223,281,9
222,224,200,11
223,539,89,7
223,540,392,7
224,538,74,10
224,539,37,12
225,226,89,8
225,228,370,10
226,227,37,8
226,506,296,10
227,507,222,8.5
227,509,74,8
228,229,96,10
228,502,636,11
229,230,429,7
229,502,518,10
230,231,44,7
230,505,133,7
231,500,481,7
231,505,148,7
232,233,37,21
232,511,333,9
233,234,237,9.5
233,236,348.9,21
234,235,148,9.5
234,521,385,10
235,520,385,10.5
235,521,222,10
237,238,725,20
237,529,407,10
238,239,481,21
238,631,170,10.5
239,240,348.9,21
239,630,296,12
241,242,481,12
241,475,444,7
242,243,814,12
242,244,1177,13
243,476,170,10
243,477,148,9.5
244,245,96,13
244,477,688,10
245,246,163,13
245,479,451,13
246,247,348.9,11
246,629,392,13
248,249,681,13.5
248,252,903,12
249,250,629,12
249,381,1739,12
250,251,1036,13
250,381,755,8
251,368,851,19
251,552,355,11.5
252,253,185,9
252,546,281,11
253,546,296,8
253,551,118,8
254,255,44,13
254,544,592,10
255,256,185,11
255,558,163,11
256,544,481,8.5
256,557,133,9.5
257,562,407,14
257,563,281,10
258,563,407,9
258,568,444,8.5
259,260,592,10
259,305,459,9.5
260,306,178,10
260,309,96,13
261,262,237,16
261,311,141,7
262,263,281,7
262,264,44,16
263,348,111,10
263,349,59,7
264,265,59,9
264,270,259,16
265,266,133,10
265,311,163,7
266,267,7,10
266,344,259,9
267,268,96,10.5
267,310,185,10
268,269,104,10.5
268,310,200,10
269,341,81,9.5
269,343,74,10
270,271,44,10
270,346,814,15
271,282,7,10
271,349,155,7.5
272,273,52,15
272,577,259,8.5
273,274,148,15.5
273,572,666,12
274,275,407,16
274,573,222,10
275,276,303,13.5
275,279,148,9.5
276,277,59,11
276,278,163,13
277,566,141,6.5
277,567,414,10.5
278,355,651,7
278,355,622,13
279,280,81,9.5
279,565,444,10
280,281,215,9.5
280,575,377,10
281,624,118,9
281,625,348.9,9
282,576,629,11.5
282,577,377,8.5
283,288,851,12.5
283,294,348.9,13
284,285,577,10
284,286,1043,9
285,287,555,11
285,585,947,12
286,413,311,8
286,415,555,12
287,413,30,9.5
287,586,555,10
288,289,222,12.5
288,292,363,13
289,290,118,13
289,583,481,11.5
290,291,444,15
290,626,348.9,10
291,582,400,8.5
291,607,348.9,16
292,293,311,10
292,628,340,10
293,497,348.9,9
293,627,518,9.5
295,296,511,10
295,297,496,16
296,419,281,8
296,419,296,8
297,298,81,16
297,418,333,7
298,299,348.9,16
298,300,318,10
300,301,355,10
300,418,96,8.5
301,302,118,9.5
301,417,215,9
302,424,370,8
302,424,281,11
303,619,382,65
304,303,382,21
305,303,229,65
306,305,141,65
307,306,178,65
308,604,44,12
309,308,96,12
310,308,74,10
311,309,74,10
312,307,326,30
313,312,74,14
314,313,429,11
315,312,296,28
316,315,207,28
317,316,111,25
318,317,296,13
319,317,126,26.5
320,319,81,26.5
321,320,400,26.5
322,321,148,28
323,322,525,22.5
324,323,755,18
325,324,30,12
326,325,104,12
327,326,718,7
328,323,407,16.5
329,328,81,14.5
330,322,289,20
331,330,104,9.5
332,330,444,18
333,332,133,19
334,333,370,17
335,334,281,17
336,335,555,16
337,336,163,17
338,337,118,14
339,604,444,65
340,339,37,30
341,340,96,30
342,340,340,15
343,341,37,30
344,343,52,30
345,344,111,30
346,345,67,18
347,345,725,27
348,346,59,15
349,348,148,9.5
350,347,311,14
351,347,333,22.5
352,351,666,17
353,352,22,13
354,351,363,17
355,354,237,17
356,339,1717,65
357,356,333,66
358,357,296,68
359,357,52,9
360,359,237,15
361,360,111,15
362,358,1251,37
363,362,577,32
364,363,296,32
365,364,414,33
366,365,333,22
367,366,222,11.5
368,366,444,22
369,368,163,16
370,365,333,30
371,370,311,13
372,371,59,12
373,370,303,27
374,373,770,27
375,373,52,17
376,375,607,15
377,376,311,12
378,374,52,24
379,378,81,22
380,378,385,13
381,380,363,13
382,380,382,11
383,384,382,11.5
384,379,163,13
385,379,237,18
386,385,207,18
387,386,289,19
388,358,281,66
389,388,59,38
390,389,104,38
391,389,148,18
392,391,851,20
393,392,237,12.5
394,392,518,17
395,394,44,10
396,394,629,15
397,390,481,38
398,397,118,38
399,398,400,38
400,399,725,40
401,399,96,20
402,401,592,20
403,400,363,40
404,403,192,27
405,404,222,27
406,405,222,18
407,406,289,18
408,407,518,17.5
409,403,777,43
410,409,96,30
411,410,1302,13.5
412,411,1199,10
413,412,222,10
414,410,1036,30
415,414,585,17
416,415,118,14.5
417,416,44,12
418,417,333,9.5
419,416,429,11.5
420,414,296,27
421,420,148,26
422,421,681,16
423,420,126,21
424,423,148,12
425,423,382,18
426,409,311,33
427,426,274,26
428,427,303,18
429,427,74,12
430,429,259,7
431,428,474,17
432,431,52,11
433,432,15,11
434,433,444,11
435,428,444,13
436,435,429,12.5
437,388,296,59
438,437,178,20
439,438,444,19
440,439,555,11
441,437,400,58
442,441,296,22
443,442,237,20
444,443,133,15
445,444,252,15
446,441,829,56
447,446,155,11
448,446,444,54
449,448,259,20
450,449,200,20
451,450,96,9
452,450,725,15
453,452,192,11
454,452,548,10
455,448,311,53
456,455,215,17
457,456,392,17
458,455,133,50
459,458,118,18
460,459,303,15
461,460,244,10
462,459,74,15
463,462,518,13
464,458,370,52
465,464,81,54
466,465,126,54
467,466,355,25
468,467,74,25
469,468,777,11
470,469,148,12
471,470,525,13
472,468,207,25
473,472,81,25
474,473,385,24
475,473,814,12
476,475,622,10
477,474,518,18
478,474,385,23
479,478,1021,21
480,478,185,12
481,480,37,10
482,481,37,9
483,479,1095,21
484,483,133,15
485,484,274,15
486,484,392,10
487,466,518,52
488,487,15,46
489,488,451,46
490,489,340,42
491,490,459,14
492,491,81,12
493,492,244,11
494,490,518,42
495,494,296,41
496,495,59,42
497,496,111,8
498,496,192,42
499,498,44,15
500,499,222,15
501,500,215,15
502,501,148,12.5
503,498,659,42
504,503,207,35
505,504,96,9
506,504,444,33
507,506,111,34
508,507,237,34
509,508,89,10
